window_end_date,lambda_BTC,lambda_ETH,n_obs_BTC,n_obs_ETH
2018-08-31,-7.2318969598920315,-6.449351650335799,292,292
2018-09-30,-6.8209622513591714,-5.264119159764153,322,322
2018-10-31,-6.350123161044799,-4.497916224844764,353,353
2018-11-30,-3.4602375133982712,-2.479534389656934,365,365
2018-12-31,-3.418886533507958,-2.0967175215721605,365,365
2019-01-31,-3.6330531040950715,0.31816228292807563,365,365
2019-02-28,-1.7494217566445527,-0.934078864180435,365,365
2019-03-31,-1.2491685314011727,-0.5843700776088232,365,365
2019-04-30,-1.557807499590857,0.6610403855504245,365,365
2019-05-31,-2.1931093420313705,0.8411296555961235,365,365
2019-06-30,-1.1538671717268754,1.1459468467218468,365,365
2019-07-31,-2.045901873812476,-0.036974590506538556,365,365
2019-08-31,-1.2261526407389098,1.267843435298703,365,365
2019-09-30,-0.8577025528274232,1.0806877347055135,365,365
2019-10-31,-1.405288766247573,1.051474799352971,365,365
2019-11-30,-2.58194878657732,-0.631042190664203,365,365
2019-12-31,-2.1465977800043303,0.040677407811161324,365,365
2020-01-31,-0.09020996330961913,0.11346747013473692,365,365
2020-02-29,0.47770939518881067,-0.14993608480790668,366,366
2020-03-31,1.2505795722851833,0.19156784495672005,366,366
2020-04-30,0.4989195811561335,-1.6751013154214263,366,366
2020-05-31,0.07820856138082583,-2.002599874591532,366,366
2020-06-30,-0.7602900087157011,-2.555751365980009,366,366
2020-07-31,0.1286372834917067,-2.0910115333391976,366,366
2020-08-31,-0.20196053824851556,-2.482843531556793,366,366
2020-09-30,-0.7273473854804348,-2.583929497036879,366,366
2020-10-31,-0.4889206804025285,-3.2610819016521724,366,366
2020-11-30,-1.67583252266443,-2.5903048370224164,366,366
2020-12-31,-2.1806609685006406,-2.992102540624491,366,366
2021-01-31,-3.1300223694155664,-3.7249552693093237,366,366
2021-02-28,-6.1207760473812085,-2.4639704574428083,366,366
2021-03-31,-7.538532700521079,-2.541820313146511,365,365
2021-04-30,-7.640737081109085,-1.7155258309774115,365,365
2021-05-31,-8.53597012829793,-2.4940493801081485,365,365
2021-06-30,-7.22550104841104,-2.7230694363640837,365,365
2021-07-31,-7.620766528696242,-2.661654846363688,365,365
2021-08-31,-7.766614089957966,-3.025894208602338,364,365
2021-09-30,-7.870828551570184,-2.923681350373426,364,365
2021-10-31,-8.032336055337021,-3.0345976788288493,364,365
2021-11-30,-7.2893076817146705,-4.324926269808339,364,365
2021-12-31,-8.070030927410022,-4.724498340085005,364,365
2022-01-31,-8.101769264598614,-6.331252893154905,364,365
2022-02-28,-4.437361168637024,-7.826348864901405,364,365
2022-03-31,-2.324829053246208,-6.548862152639044,364,365
2022-04-30,-2.165052984076561,-6.090696250252299,364,365
2022-05-31,0.5917464692795564,-3.7535106150352644,364,365
2022-06-30,-4.361762267299295,-1.0997116544327838,364,365
