Date,MVO_W_BTC,MVO_W_ETH,SAMVO_W_BTC,SAMVO_W_ETH
2018-08-31,1.1481,-0.1481,8487.267,-8486.267
2018-09-30,1.4155,-0.4155,21385.5163,-21384.5163
2018-10-31,1.3857,-0.3857,-30412.0541,30413.0541
2018-11-30,10916.3933,-10915.3933,-9578.933,9579.933
2018-12-31,-23823.8096,23824.8096,-18239.0184,18240.0184
2019-01-31,11581.4857,-11580.4857,-12535.3314,12536.3314
2019-02-28,9119.8217,-9118.8217,-10248.9521,10249.9521
2019-03-31,32842.8911,-32841.8911,-17636.9952,17637.9952
2019-04-30,7364.7914,-7363.7914,-16626.826,16627.826
2019-05-31,2.7933,-1.7933,-12012.9161,12013.9161
2019-06-30,2.3314,-1.3314,1.2073,-0.2073
2019-07-31,2.8418,-1.8418,17.8612,-16.8612
2019-08-31,2.6144,-1.6144,-0.1966,1.1966
2019-09-30,2.2549,-1.2549,-1.4666,2.4666
2019-10-31,1.9838,-0.9838,-2.4989,3.4989
2019-11-30,1.4462,-0.4462,-0.9669,1.9669
2019-12-31,2.3959,-1.3959,0.9916,0.0084
2020-01-31,1.6335,-0.6335,1.5098,-0.5098
2020-02-29,1.4095,-0.4095,1.7342,-0.7342
2020-03-31,2.4657,-1.4657,2.7316,-1.7316
2020-04-30,1.3656,-0.3656,3.5238,-2.5238
2020-05-31,1.8362,-0.8362,6.1888,-5.1888
2020-06-30,-0.2051,1.2051,25.3029,-24.3029
2020-07-31,-3.8921,4.8921,3.0881,-2.0881
2020-08-31,-10.7126,11.7126,1.0591,-0.0591
2020-09-30,-2.9672,3.9672,2.1589,-1.1589
2020-10-31,-1.0855,2.0855,2.939,-1.939
2020-11-30,0.0597,0.9403,0.7882,0.2118
2020-12-31,0.5395,0.4605,1.1089,-0.1089
2021-01-31,0.0728,0.9272,0.0449,0.9551
2021-02-28,0.7215,0.2785,-4.4188,5.4188
2021-03-31,0.6681,0.3319,-2.8395,3.8395
2021-04-30,0.4715,0.5285,-8.0456,9.0456
2021-05-31,0.1015,0.8985,-22427.471,22428.471
2021-06-30,0.1403,0.8597,-4505.3568,4506.3568
2021-07-31,0.3077,0.6923,-4474.5218,4475.5218
2021-08-31,0.3459,0.6541,-2907.3254,2908.3254
2021-09-30,0.2768,0.7232,-4396.681,4397.681
2021-10-31,0.153,0.847,-2096.6712,2097.6712
2021-11-30,-0.229,1.229,-18138.4159,18139.4159
2021-12-31,-1.8158,2.8158,-20835.7571,20836.7571
2022-01-31,-2.7032,3.7032,-36123.6649,36124.6649
2022-02-28,-31.5711,32.5711,-17127.2382,17128.2382
2022-03-31,-11367.6191,11368.6191,-15193.0312,15194.0312
2022-04-30,-9293.7675,9294.7675,7970.3619,-7969.3619
2022-05-31,4.3047,-3.3047,12.511,-11.511
2022-06-30,-34486.9958,34487.9958,-36327.3544,36328.3544
